UserID,Username,Email,FullName,Role,Programme,Password,Bio,IsVerified,CreatedAt,location,link,following_count,followers_count,posts,liked_post_ids,followed_user_ids
1,@adixyaxo,aditya25csu016@ncuindia.edu,Aditya Dagar,Admin,Computer Applications,caa44a367134b4f954636c44877ecb99c2f56ce2115f068ad4e4ee95d36d520e,Meet the maker of X-NCU,TRUE,2025-10-01T10:00:00Z,Gurugram,https://example.com/adixyaxo,13,13,2,,2;3;4;5;6;7;8;9;10;11;12;13;14
2,@priya.sharma,priya.sharma@ncuindia.edu,Dr. Priya Sharma,Teacher,Computer Applications,b8e293705f64e2ebf4e52ef845f6651bec8be204df9440a5e6c703751d737df3,Assistant Professor of Computer Applications,TRUE,2024-05-15T09:30:00Z,Delhi,https://example.com/priya.sharma,3,3,1,1,1;3;11
3,@arjun.mehta,arjun.mehta@ncuindia.edu,Arjun Mehta,Student,Engineering & Technology,53b49101bde26f00d5baf98f4c624a5c9d23dd55908896f17f45e819d2e985a0,Engineering student building useful campus tools,FALSE,2025-11-20T14:45:00Z,Mumbai,https://example.com/arjun.mehta,3,3,1,1;2,1;2;12
4,@campus.office,campus.office@ncuindia.edu,Campus Office,Staff,Engineering & Technology,f049523cc9c0146e38547084be4e957d87e2c239eb422a1a7918b5669259a7be,Official campus operations and announcements,TRUE,2023-01-10T08:00:00Z,Gurugram,https://example.com/campus.office,3,2,1,,1;5;8
5,@naina.kapoor,naina.kapoor@ncuindia.edu,Naina Kapoor,Student,Management & Business Administration,e7cf3ef4f17c3999a94f2c6f612e8a888e5b1026878e4e19398b23bd38ec221a,MBA student interested in startups and strategy,FALSE,2025-08-12T10:20:00Z,Noida,https://example.com/naina.kapoor,2,3,0,,1;6
6,@rohan.bansal,rohan.bansal@ncuindia.edu,Rohan Bansal,Student,Commerce,e7cf3ef4f17c3999a94f2c6f612e8a888e5b1026878e4e19398b23bd38ec221a,Commerce student tracking markets and finance,FALSE,2025-08-15T11:00:00Z,Faridabad,https://example.com/rohan.bansal,2,3,0,,1;5
7,@isha.verma,isha.verma@ncuindia.edu,Isha Verma,Student,Economics,e7cf3ef4f17c3999a94f2c6f612e8a888e5b1026878e4e19398b23bd38ec221a,Economics student exploring policy and data,FALSE,2025-08-18T13:10:00Z,Delhi,https://example.com/isha.verma,2,2,0,,1;6
8,@kabir.sethi,kabir.sethi@ncuindia.edu,Kabir Sethi,Student,Law,e7cf3ef4f17c3999a94f2c6f612e8a888e5b1026878e4e19398b23bd38ec221a,Law student preparing for moot court season,FALSE,2025-08-20T09:40:00Z,Chandigarh,https://example.com/kabir.sethi,2,2,0,,1;4
9,@meera.rai,meera.rai@ncuindia.edu,Meera Rai,Student,Humanities & Liberal Arts,e7cf3ef4f17c3999a94f2c6f612e8a888e5b1026878e4e19398b23bd38ec221a,Liberal arts student writing about culture and society,FALSE,2025-08-21T15:30:00Z,Jaipur,https://example.com/meera.rai,2,2,0,,1;10
10,@tara.malhotra,tara.malhotra@ncuindia.edu,Tara Malhotra,Student,Psychology,e7cf3ef4f17c3999a94f2c6f612e8a888e5b1026878e4e19398b23bd38ec221a,Psychology student interested in cognition and wellbeing,FALSE,2025-08-22T12:05:00Z,Gurugram,https://example.com/tara.malhotra,2,2,0,,1;9
11,@devika.sen,devika.sen@ncuindia.edu,Devika Sen,Student,Sciences,e7cf3ef4f17c3999a94f2c6f612e8a888e5b1026878e4e19398b23bd38ec221a,Science student working on lab notes and research,FALSE,2025-08-23T16:45:00Z,Delhi,https://example.com/devika.sen,2,3,0,,1;2
12,@aryan.gill,aryan.gill@ncuindia.edu,Aryan Gill,Student,Design & Media,e7cf3ef4f17c3999a94f2c6f612e8a888e5b1026878e4e19398b23bd38ec221a,Design and media student creating campus stories,FALSE,2025-08-24T17:20:00Z,Gurugram,https://example.com/aryan.gill,2,2,0,,1;3
13,@sana.qureshi,sana.qureshi@ncuindia.edu,Sana Qureshi,Student,Allied Health Sciences,e7cf3ef4f17c3999a94f2c6f612e8a888e5b1026878e4e19398b23bd38ec221a,Allied health student focused on public health,FALSE,2025-08-25T08:35:00Z,Delhi,https://example.com/sana.qureshi,2,1,0,,1;11
14,@rahul.menon,rahul.menon@ncuindia.edu,Rahul Menon,Teacher,Doctoral (Ph.D.) Programs,e7cf3ef4f17c3999a94f2c6f612e8a888e5b1026878e4e19398b23bd38ec221a,Research mentor for doctoral scholars,TRUE,2025-08-26T18:15:00Z,Bengaluru,https://example.com/rahul.menon,2,1,0,,1;7
